sequence_name,collection_date,country,state,county,host,GenBank_Accession,SRA_Accession
NJ0116COB,2016-01-29,United States, Colorado, Yuma,Bovine,OP971456,SAMN32126714
NJ1215NEB,2015-12-06,United States, Nebraska, Logan,Bovine,OP971455,SAMN32126713
NJ1115COB7,2015-11-16,United States, Colorado, Garfield,Bovine,OP971454,SAMN32126712
NJ1115COB2,2015-11-10,United States, Colorado, Eagle,Bovine,OP971452,SAMN32126710
NJ1115COB3,2015-11-10,United States, Colorado, Eagle,Bovine,OP971453,SAMN32126711
NJ1115COE6,2015-11-09,United States, Colorado, El Paso,Equine,OP971499,SAMN32116139
NJ1115COB1,2015-11-05,United States, Colorado, Garfield,Bovine,OP971451,SAMN32126709
NJ1115COE5,2015-11-04,United States, Colorado, Elbert,Equine,OP971498,SAMN32116138
NJ1115COE4,2015-11-02,United States, Colorado, El Paso,Equine,OP971497,SAMN32116137
NJ1115COE1,2015-11-01,United States, Colorado, Elbert,Equine,OP971494,SAMN32116134
NJ1115COE2,2015-11-01,United States, Colorado, Elbert,Equine,OP971495,SAMN32116135
NJ1115COE3,2015-11-01,United States, Colorado, Elbert,Equine,OP971496,SAMN32116136
NJ1015COB4,2015-10-30,United States, Colorado, Delta,Bovine,OP971443,SAMN32126621
NJ1015SDB3,2015-10-28,United States, South Dakota, Lawrence,Bovine,OP971448,SAMN32126706
NJ1015COE11,2015-10-28,United States, Colorado, Garfield,Equine,OP971493,SAMN32116133
NJ1015SDB2,2015-10-26,United States, South Dakota, Fall River,Bovine,OP971447,SAMN32126705
NJ1015SDB1,2015-10-21,United States, South Dakota, Custer,Bovine,OP971446,SAMN32126704
NJ1015COE10,2015-10-21,United States, Colorado, Elbert,Equine,OP971492,SAMN32115991
NJ1015WYE,2015-10-20,United States, Wyoming, Crook,Equine,OP971450,SAMN32126708
NJ1015COE9,2015-10-15,United States, Colorado, El Paso,Equine,OP971491,SAMN32115990
NJ1015UTB,2015-10-13,United States, Utah, Uintah,Bovine,OP971449,SAMN32126707
NJ1015COE6,2015-10-12,United States, Colorado, El Paso,Equine,OP971488,SAMN32115987
NJ1015COE7,2015-10-12,United States, Colorado, El Paso,Equine,OP971489,SAMN32115988
NJ1015COE8,2015-10-12,United States, Colorado, Garfield,Equine,OP971490,SAMN32115989
NJ1015COB1,2015-10-09,United States, Colorado, Mesa,Bovine,OP971442,SAMN32126620
NJ1015COE5,2015-10-08,United States, Colorado, Broomfield,Equine,OP971487,SAMN32115986
NJ1015COE4,2015-10-07,United States, Colorado, Fremont,Equine,OP971486,SAMN32115985
NJ1015COE1,2015-10-06,United States, Colorado, El Paso,Equine,OP971483,SAMN32115982
NJ1015COE2,2015-10-06,United States, Colorado, Douglas,Equine,OP971484,SAMN32115983
NJ1015COE3,2015-10-06,United States, Colorado, Mesa,Equine,OP971485,SAMN32115984
NJ1015NEE,2015-10-03,United States, Nebraska, Banner,Equine,OP971445,SAMN32126703
NJ1015NEB,2015-10-01,United States, Nebraska, Scotts Bluff,Bovine,OP971444,SAMN32126702
NJ0915COE10,2015-09-30,United States, Colorado, Garfield,Equine,OP971482,SAMN32115981
NJ0915COE9,2015-09-29,United States, Colorado, Fremont,Equine,OP971481,SAMN32115980
NJ0915NEB2,2015-09-28,United States, Nebraska, Scotts Bluff,Bovine,OP971424,SAMN32126602
NJ0915COE8,2015-09-27,United States, Colorado, Morgan,Equine,OP971480,SAMN32115979
NJ0915WYB5,2015-09-23,United States, Wyoming, Converse,Bovine,OP971440,SAMN32126618
NJ0915COE7,2015-09-20,United States, Colorado, Moffat,Equine,OP971479,SAMN32115978
NJ0915NEB1,2015-09-19,United States, Nebraska, Scotts Bluff,Bovine,OP971423,SAMN32126601
NJ0915COB6,2015-09-18,United States, Colorado, Weld,Bovine,OP971422,SAMN32126600
NJ0915COE6,2015-09-17,United States, Colorado, Boulder,Equine,OP971478,SAMN32115977
NJ0915COB4,2015-09-16,United States, Colorado, Mineral,Bovine,OP971420,SAMN32126598
NJ0915COB5,2015-09-16,United States, Colorado, Mineral,Bovine,OP971421,SAMN32126599
NJ0915NEE8,2015-09-16,United States, Nebraska, Lincoln,Equine,OP971432,SAMN32126610
NJ0915WYB2,2015-09-16,United States, Wyoming, Albany,Bovine,OP971437,SAMN32126615
NJ0915WYB3,2015-09-16,United States, Wyoming, Converse,Bovine,OP971438,SAMN32126616
NJ0915WYB4,2015-09-16,United States, Wyoming, Converse,Bovine,OP971439,SAMN32126617
NJ0915COE5,2015-09-16,United States, Colorado, Weld,Equine,OP971477,SAMN32115976
NJ0915NEE6,2015-09-15,United States, Nebraska, Scotts Bluff,Equine,OP971430,SAMN32126608
NJ0915NEE7,2015-09-15,United States, Nebraska, Scotts Bluff,Equine,OP971431,SAMN32126609
NJ0915WYB1,2015-09-15,United States, Wyoming, Converse,Bovine,OP971436,SAMN32126614
NJ0915NEE5,2015-09-11,United States, Nebraska, Scotts Bluff,Equine,OP971429,SAMN32126607
NJ0915WYE,2015-09-11,United States, Wyoming, Natrona,Equine,OP971441,SAMN32126619
NJ0915NEE3,2015-09-09,United States, Nebraska, Scotts Bluff,Equine,OP971427,SAMN32126605
NJ0915NEE4,2015-09-09,United States, Nebraska, Scotts Bluff,Equine,OP971428,SAMN32126606
NJ0915NEE1,2015-09-08,United States, Nebraska, Scotts Bluff,Equine,OP971425,SAMN32126603
NJ0915NEE2,2015-09-08,United States, Nebraska, Scotts Bluff,Equine,OP971426,SAMN32126604
NJ0915UTB,2015-09-08,United States, Utah, Uintah,Bovine,OP971435,SAMN32126613
NJ0915COE4,2015-09-07,United States, Colorado, Routt,Equine,OP971476,SAMN32115975
